Course Code,Course Number,Titles,Day,Time,Location
DRW,351,"Printmaking, Intermediate Workshop",Wednesday,1:00-3:11,Carnegie
DRW,352,"Printmaking, Intermediate Workshop",Thursday,2:00-4:11,Hall of Languages
DRW,353,Anatomy,Friday,3:00-5:11,Physics Building
DRW,354,Anatomy,Monday,4:00-6:11,Falk
DRW,355,Intermediate Drawing,Tuesday,5:00-7:11,Marshall Square Mall
DRW,356,Intermediate Drawing,Wednesday,6:00-8:11,Lyman Hall
DRW,451,Printmaking: Advanced Workshop,Thursday,7:00-9:11,Whitman
DRW,452,Printmaking: Advanced Workshop,Friday,1:00-3:12,Schine
DRW,456,Advanced Drawing,Monday,2:00-4:12,Heroy Geology Building
DRW,503,Drawing and Painting for Non-Art Majors,Tuesday,3:00-5:12,HBC Gifford
DRW,504,Drawing and Painting for Non-Art Majors,Wednesday,4:00-6:12,Crouse-Hinds Hall
DRW,555,Drawing Research,Thursday,5:00-7:12,Dineen Hall
DSP,101,Introduction to Disability Studies,Friday,6:00-8:12,Hinds Hall
DSP,200,Selected Topics,Monday,7:00-9:12,Carnegie
DSP,203,Introduction to Inclusive Schooling,Tuesday,1:00-3:13,Hall of Languages
DSP,333,Disability and Public Health,Wednesday,2:00-4:13,Physics Building
DSP,357,Deafness and Disability,Thursday,3:00-5:13,Falk
DSP,400,Selected Topics,Friday,4:00-6:13,Marshall Square Mall
DSP,424,Representations of Ability & Disability,Monday,5:00-7:13,Lyman Hall
DSP,432,Gender and Disability,Tuesday,6:00-8:13,Whitman
DSP,438,Disability and Popular Culture,Wednesday,7:00-9:13,Schine
DSP,440,Sociology of Disability,Thursday,1:00-3:14,Heroy Geology Building
DSP,443,Intersectional Feminist Disability Studies,Friday,2:00-4:14,HBC Gifford
DSP,475,Internship in Disability Policy,Monday,3:00-5:14,Crouse-Hinds Hall
DSP,490,Independent Study,Tuesday,4:00-6:14,Dineen Hall
DTS,228,Basic Social Ballroom Dance,Wednesday,5:00-7:14,Hinds Hall
DTS,229,Intermediate Social Ballroom Dance,Thursday,6:00-8:14,Carnegie
DTS,231,Introduction to Dance,Friday,7:00-9:14,Hall of Languages
DTS,233,African Dance,Monday,1:00-3:15,Physics Building
DTS,234,Tap I,Tuesday,2:00-4:15,Falk
DTS,235,Beginning Jazz I,Wednesday,3:00-5:15,Marshall Square Mall
DTS,236,Beginning Jazz II,Thursday,4:00-6:15,Lyman Hall
DTS,237,Intermediate Jazz I,Friday,5:00-7:15,Whitman
DTS,238,Intermediate Jazz II,Monday,6:00-8:15,Schine
DTS,239,Beginning Ballet I,Tuesday,7:00-9:15,Heroy Geology Building
DTS,241,Beginning Ballet II,Wednesday,1:00-3:16,HBC Gifford
DTS,242,Intermediate Ballet I,Thursday,2:00-4:16,Crouse-Hinds Hall
DTS,243,Intermediate Ballet II,Friday,3:00-5:16,Dineen Hall
DTS,244,Beginning Modern I,Monday,4:00-6:16,Hinds Hall
DTS,245,Beginning Modern II,Tuesday,5:00-7:16,Carnegie
DTS,246,Intermediate Modern I,Wednesday,6:00-8:16,Hall of Languages
DTS,247,Intermediate Modern II,Thursday,7:00-9:16,Physics Building
DTS,248,Improvisation,Friday,1:00-3:17,Falk
DTS,249,Latin & Salsa Dance,Monday,2:00-4:17,Marshall Square Mall
DTS,251,Hip Hop Dance,Tuesday,3:00-5:17,Lyman Hall
DTS,252,East Coast Swing,Wednesday,4:00-6:17,Whitman
DTS,253,West Coast Swing,Thursday,5:00-7:17,Schine
DTS,254,Bellydance,Friday,6:00-8:17,Heroy Geology Building
DTS,255,Tap II,Monday,7:00-9:17,HBC Gifford
DTS,280,International Course,Tuesday,1:00-3:18,Crouse-Hinds Hall
DTS,300,Selected Topics,Wednesday,2:00-4:18,Dineen Hall
DTS,368,History and Appreciation of Western Dance,Thursday,3:00-5:18,Hinds Hall
DTS,423,Basic Concepts of Choreography,Friday,4:00-6:18,Carnegie
DTS,490,Independent Study,Monday,5:00-7:18,Hall of Languages
EAR,104,Earth Sciences Laboratory,Tuesday,6:00-8:18,Physics Building
EAR,105,Earth Science,Wednesday,7:00-9:18,Falk
EAR,106,Geohazards & Natural Disasters,Thursday,1:00-3:19,Marshall Square Mall
EAR,110,Dynamic Earth,Friday,2:00-4:19,Lyman Hall
EAR,111,Climate Change Past and Present,Monday,3:00-5:19,Whitman
EAR,117,Oceanography,Tuesday,4:00-6:19,Schine
EAR,200,Selected Topics,Wednesday,5:00-7:19,Heroy Geology Building
EAR,203,Earth System Science,Thursday,6:00-8:19,HBC Gifford
EAR,205,Water and Our Environment,Friday,7:00-9:19,Crouse-Hinds Hall
EAR,210,History of Earth and Life,Monday,1:00-3:20,Dineen Hall
EAR,225,Volcanoes and Earthquakes,Tuesday,2:00-4:20,Hinds Hall
EAR,300,Selected Topics,Wednesday,3:00-5:20,Carnegie
EAR,305,Earth Science of Energy,Thursday,4:00-6:20,Hall of Languages
EAR,309,Honor Tutorial Geology,Friday,5:00-7:20,Physics Building
EAR,311,Introduction to Geophysical Methods,Monday,6:00-8:20,Falk
EAR,314,Mineralogy,Tuesday,7:00-9:20,Marshall Square Mall
EAR,317,Sedimentary Processes and Systems,Wednesday,1:00-3:21,Lyman Hall
EAR,325,Introduction to Paleobiology,Thursday,2:00-4:21,Whitman
EAR,333,Structural Geology,Friday,3:00-5:21,Schine
EAR,401,Hydrogeology,Monday,4:00-6:21,Heroy Geology Building
EAR,402,Numerical Methods in Geosciences,Tuesday,5:00-7:21,HBC Gifford
EAR,403,Geomorphology,Wednesday,6:00-8:21,Crouse-Hinds Hall
EAR,404,Advanced Structural Geology,Thursday,7:00-9:21,Dineen Hall
EAR,405,Global Change:Geologic Record,Friday,1:00-3:22,Hinds Hall
EAR,406,Reflection Seismology: Theory and Practice,Monday,2:00-4:22,Carnegie
EAR,407,Climate Change and Human Origins,Tuesday,3:00-5:22,Hall of Languages
EAR,409,Senior Thesis in Earth Science,Wednesday,4:00-6:22,Physics Building
EAR,410,Applications of GIS in the Earth Sciences,Thursday,5:00-7:22,Falk
EAR,417,Geochemistry,Friday,6:00-8:22,Marshall Square Mall
EAR,418,Petrology,Monday,7:00-9:22,Lyman Hall
EAR,419,Environmental Aqueous Geochemistry,Tuesday,1:00-3:23,Whitman
EAR,420,Contaminant Hydrogeology,Wednesday,2:00-4:23,Schine
EAR,428,Seminar in Environmental Science,Thursday,3:00-5:23,Heroy Geology Building
EAR,429,Topics in Paleobiology,Friday,4:00-6:23,HBC Gifford
EAR,430,Topics in Thermochronology & Tectonics,Monday,5:00-7:23,Crouse-Hinds Hall
EAR,431,Plate Tectonics,Tuesday,6:00-8:23,Dineen Hall
EAR,432,Seafloor Spreading and Oceanic Lithosphere,Wednesday,7:00-9:23,Hinds Hall
EAR,433,Topics in Active Tectonics,Thursday,1:00-3:24,Carnegie
EAR,435,Geophysics,Friday,2:00-4:24,Hall of Languages
EAR,443,Advanced Topics in Geomorphology,Monday,3:00-5:24,Physics Building
EAR,444,Thermochronology,Tuesday,4:00-6:24,Falk
EAR,455,Geochemical Patterns in the History of Earth and Life,Wednesday,5:00-7:24,Marshall Square Mall
EAR,470,Experience Credit,Thursday,6:00-8:24,Lyman Hall
EAR,478,Isotope Geology,Friday,7:00-9:24,Whitman
EAR,479,Introduction to Unmanned Aerial Vehicles: Research & Applications,Monday,1:00-3:25,Schine
EAR,483,Departmental Colloquium,Tuesday,2:00-4:25,Heroy Geology Building
EAR,490,Independent Study,Wednesday,3:00-5:25,HBC Gifford
EAR,499,Honors Capstone Project,Thursday,4:00-6:25,Crouse-Hinds Hall
EAR,510,Paleolimnology,Friday,5:00-7:25,Dineen Hall
EAR,544,Quaternary Environmental and Climate Change,Monday,6:00-8:25,Hinds Hall
EAR,590,Independent Study,Tuesday,7:00-9:25,Carnegie
ECE,499,Honors Capstone Project,Wednesday,1:00-3:26,Hall of Languages
ECN,101,Introductory Microeconomics,Thursday,2:00-4:26,Physics Building
ECN,102,Introductory Macroeconomics,Friday,3:00-5:26,Falk
ECN,203,Economic Ideas and Issues,Monday,4:00-6:26,Marshall Square Mall
ECN,258,Poverty and Discrimination in America,Tuesday,5:00-7:26,Lyman Hall
ECN,270,Experience Credit,Wednesday,6:00-8:26,Whitman
ECN,290,Independent Study,Thursday,7:00-9:26,Schine
ECN,300,Selected Topics,Friday,1:00-3:27,Heroy Geology Building
ECN,301,Intermediate Microeconomics,Monday,2:00-4:27,HBC Gifford
ECN,302,Intermediate Macroeconomics,Tuesday,3:00-5:27,Crouse-Hinds Hall
ECN,303,Microeconomics for Managers,Wednesday,4:00-6:27,Dineen Hall
ECN,304,The Economics of Social Issues,Thursday,5:00-7:27,Hinds Hall
ECN,305,Economics of Personal Finance,Friday,6:00-8:27,Carnegie
ECN,310,Special Topics In Economics,Monday,7:00-9:27,Hall of Languages
ECN,311,Intermediate Mathematical Microeconomics,Tuesday,1:00-3:28,Physics Building
ECN,312,Behavioral Economics,Wednesday,2:00-4:28,Falk
ECN,313,The Economics of Happiness,Thursday,3:00-5:28,Marshall Square Mall
ECN,325,Economics and Gender,Friday,4:00-6:28,Lyman Hall
ECN,355,Economics of Health and Medical Care,Monday,5:00-7:28,Whitman
ECN,358,Economics of US Poverty and Discrimination,Tuesday,6:00-8:28,Schine
ECN,361,Economics of European Integration,Wednesday,7:00-9:28,Heroy Geology Building
ECN,362,Globalization Development and Environment,Thursday,1:00-3:29,HBC Gifford
ECN,363,Economic Development of China,Friday,2:00-4:29,Crouse-Hinds Hall
ECN,364,International Economic Relations,Monday,3:00-5:29,Dineen Hall
ECN,365,The World Economy,Tuesday,4:00-6:29,Hinds Hall
ECN,366,Economic Policies of the European Union,Wednesday,5:00-7:29,Carnegie
ECN,367,Economics of Globalization,Thursday,6:00-8:29,Hall of Languages
ECN,373,Industrial Organization & Policy,Friday,7:00-9:29,Physics Building
ECN,390,Independent Study,Monday,1:00-3:30,Falk
ECN,400,Selected Topics,Tuesday,2:00-4:30,Marshall Square Mall
ECN,410,Topics in Economic Applications,Wednesday,3:00-5:30,Lyman Hall
ECN,421,Game Theory and Economic Strategy,Thursday,4:00-6:30,Whitman
ECN,422,Introduction to Statistics and Econometrics,Friday,5:00-7:30,Schine
ECN,431,Public Economics,Monday,6:00-8:30,Heroy Geology Building
ECN,435,State and Local Public Finance,Tuesday,7:00-9:30,HBC Gifford
ECN,437,Environmental and Resource Economics,Wednesday,1:00-3:31,Crouse-Hinds Hall
ECN,441,Urban Economics,Thursday,2:00-4:31,Dineen Hall
ECN,443,Real Estate Economics and Finance,Friday,3:00-5:31,Hinds Hall
ECN,451,Labor Economics,Monday,4:00-6:31,Carnegie
ECN,465,International Trade Theory and Policy,Tuesday,5:00-7:31,Hall of Languages
ECN,470,Experience Credit,Wednesday,6:00-8:31,Physics Building
ECN,481,Introduction Money & Banking,Thursday,7:00-9:31,Falk
ECN,487,Economic Growth,Friday,1:00-3:32,Marshall Square Mall
ECN,490,Independent Study,Monday,2:00-4:32,Lyman Hall
ECN,495,Distinction Thesis Seminar in Economics I,Tuesday,3:00-5:32,Whitman
ECN,496,Distinction Thesis Seminar in Economics II,Wednesday,4:00-6:32,Schine
ECN,499,Honors Capstone Project,Thursday,5:00-7:32,Heroy Geology Building
ECN,500,Selected Topics,Friday,6:00-8:32,HBC Gifford
ECN,505,Mathematical Economics,Monday,7:00-9:32,Crouse-Hinds Hall
ECN,510,Special Topics in Economics,Tuesday,1:00-3:33,Dineen Hall
ECN,521,Economic Statistics,Wednesday,2:00-4:33,Hinds Hall
ECN,522,Econometric Methods,Thursday,3:00-5:33,Carnegie
ECN,525,Economics and Gender,Friday,4:00-6:33,Hall of Languages
ECN,566,International Macroeconomics and Finance,Monday,5:00-7:33,Physics Building
ECN,580,International Course,Tuesday,6:00-8:33,Falk
ECS,100,Selected Topics,Wednesday,7:00-9:33,Marshall Square Mall
ECS,101,Introduction to Engineering and Computer Science,Thursday,1:00-3:34,Lyman Hall
ECS,102,Introduction to Computing,Friday,2:00-4:34,Whitman
ECS,104,Engineering Computational Tools,Monday,3:00-5:34,Schine
ECS,105,LCS SummerStart Supplemental Math Workshop,Tuesday,4:00-6:34,Heroy Geology Building
ECS,109,ECS SummerStart Seminar,Wednesday,5:00-7:34,HBC Gifford
ECS,110,Introduction to Engineering Mathematics,Thursday,6:00-8:34,Crouse-Hinds Hall
ECS,114,Academic Excellence Workshop for Pre-Calculus,Friday,7:00-9:34,Dineen Hall
ECS,115,Academic Excellence Workshop for Calculus I,Monday,1:00-3:35,Hinds Hall
ECS,116,Academic Excellence Worksho for Calculus II,Tuesday,2:00-4:35,Carnegie
ECS,117,Academic Excellence Workshop for Calculus III,Wednesday,3:00-5:35,Hall of Languages
ECS,122,Academic Excellence Workshop for Intro. to Computing,Thursday,4:00-6:35,Physics Building
ECS,125,Survey of Engineering Problems,Friday,5:00-7:35,Falk
ECS,200,Selected Topics,Monday,6:00-8:35,Marshall Square Mall
ECS,201,Academic Excellence Workshop for Statics,Tuesday,7:00-9:35,Lyman Hall
ECS,202,Academic Excellence Workshop for Dynamics,Wednesday,1:00-3:36,Whitman
ECS,203,Introduction to Technology,Thursday,2:00-4:36,Schine
ECS,204,Mathematical Programming for Engineers,Friday,3:00-5:36,Heroy Geology Building
ECS,205,Academic Excellence Workshop for Thermodynamics,Monday,4:00-6:36,HBC Gifford
ECS,206,Academic Excellence Workshop for Mass & Energy Balances,Tuesday,5:00-7:36,Crouse-Hinds Hall
ECS,207,AEW for CEN Thermodynamics,Wednesday,6:00-8:36,Dineen Hall
ECS,221,Statics,Thursday,7:00-9:36,Hinds Hall
ECS,222,Dynamics,Friday,1:00-3:37,Carnegie
ECS,290,Independent Study,Monday,2:00-4:37,Hall of Languages
ECS,301,Understanding Contemporary Technology,Tuesday,3:00-5:37,Physics Building
ECS,302,Understanding Contemporary Technology,Wednesday,4:00-6:37,Falk
ECS,325,Mechanics of Solids,Thursday,5:00-7:37,Marshall Square Mall
ECS,326,"Engineering Materials, Properties, and Processing",Friday,6:00-8:37,Lyman Hall
ECS,353,Automotive Technology for Non-Engineers,Monday,7:00-9:37,Whitman
ECS,354,Green Technology and Sustainability,Tuesday,1:00-3:38,Schine
ECS,365,Engineering Peer Mentor Forum,Wednesday,2:00-4:38,Heroy Geology Building
ECS,370,Professional Practice,Thursday,3:00-5:38,HBC Gifford
ECS,371,International Professional Practice,Friday,4:00-6:38,Crouse-Hinds Hall
ECS,375,Academic Excellence Facilitator Forum,Monday,5:00-7:38,Dineen Hall
ECS,391,Legal Aspects of Engineering and Computer Science,Tuesday,6:00-8:38,Hinds Hall
ECS,392,Ethical Aspects of Engineering and Computer Science,Wednesday,7:00-9:38,Carnegie
ECS,400,Selected Topics,Thursday,1:00-3:39,Hall of Languages
ECS,401,Spec. Projects-Soling Program,Friday,2:00-4:39,Physics Building
ECS,441,Leonardo da Vinci: Artist and Engineer,Monday,3:00-5:39,Falk
ECS,460,Practical Engineering in Industry,Tuesday,4:00-6:39,Marshall Square Mall
ECS,470,Professional Practice,Wednesday,5:00-7:39,Lyman Hall
ECS,480,International Course,Thursday,6:00-8:39,Whitman
ECS,490,Independent Study,Friday,7:00-9:39,Schine
ECS,498,Concepts & Issues of Tech.,Monday,1:00-3:40,Heroy Geology Building
ECS,499,Honors Capstone Project,Tuesday,2:00-4:40,HBC Gifford
ECS,511,Sustainable Manufacturing,Wednesday,3:00-5:40,Crouse-Hinds Hall
ECS,525,Probability for Engineers,Thursday,4:00-6:40,Dineen Hall
ECS,526,Statistics for Engineers,Friday,5:00-7:40,Hinds Hall
ECS,555,Virtual Design Studio for Green Building Systems (VDS-GBS),Monday,6:00-8:40,Carnegie
ECS,570,Professional Practice,Tuesday,7:00-9:40,Hall of Languages
ECS,588,Principles of Wind Turbines,Wednesday,1:00-3:41,Physics Building
EDI,100,Selected Topics,Thursday,2:00-4:41,Falk
EDI,104,Fundamentals of Environmental + Interior Design,Friday,3:00-5:41,Marshall Square Mall
EDI,143,Visual Presentation and Drawing for Designers,Monday,4:00-6:41,Lyman Hall
EDI,144,Drafting for Designers,Tuesday,5:00-7:41,Whitman
EDI,145,Introductory Environmental Design I,Wednesday,6:00-8:41,Schine
EDI,205,"Computer Applications in EDI, Level I",Thursday,7:00-9:41,Heroy Geology Building
EDI,247,Fundamentals of Interior Design,Friday,1:00-3:42,HBC Gifford
EDI,251,Environmental Design I,Monday,2:00-4:42,Crouse-Hinds Hall
EDI,252,Environmental Design II,Tuesday,3:00-5:42,Dineen Hall
EDI,253,Design Presentation and Techniques I,Wednesday,4:00-6:42,Hinds Hall
EDI,254,Design Presentation and Techniques II,Thursday,5:00-7:42,Carnegie
EDI,300,Selected Topics,Friday,6:00-8:42,Hall of Languages
EDI,305,"Computer Applications, Level II",Monday,7:00-9:42,Physics Building
EDI,326,"Italian Design Tradition: Room, House, City",Tuesday,1:00-3:43,Falk
EDI,327,"Room, House, City: Studio",Wednesday,2:00-4:43,Marshall Square Mall
EDI,341,Building and Construction,Thursday,3:00-5:43,Lyman Hall
EDI,346,American Traditions,Friday,4:00-6:43,Whitman
EDI,347,Historic Buildings: Studio,Monday,5:00-7:43,Schine
EDI,348,Introduction to Lighting Design,Tuesday,6:00-8:43,Heroy Geology Building
EDI,351,Environmental Design III,Wednesday,7:00-9:43,HBC Gifford
EDI,352,Environmental Design Directed Research,Thursday,1:00-3:44,Crouse-Hinds Hall
EDI,353,Environmental Factors,Friday,2:00-4:44,Dineen Hall
EDI,354,Professional Practice for Designers,Monday,3:00-5:44,Hinds Hall
EDI,380,International Course,Tuesday,4:00-6:44,Carnegie
EDI,400,Selected Topics,Wednesday,5:00-7:44,Hall of Languages
EDI,451,Environmental Design Focus Studio,Thursday,6:00-8:44,Physics Building
EDI,452,Environmental Design Thesis Studio,Friday,7:00-9:44,Falk
EDI,453,Thesis Prep and Research,Monday,1:00-3:45,Marshall Square Mall
EDI,454,Environmental Design Portfolio,Tuesday,2:00-4:45,Lyman Hall
EDI,499,Honors Capstone Project,Wednesday,3:00-5:45,Whitman
EDU,101,First Year Forum,Thursday,4:00-6:45,Schine
EDU,200,Selected Topics,Friday,5:00-7:45,Heroy Geology Building
EDU,201,Practicum in Pre-K Inclusive Education,Monday,6:00-8:45,HBC Gifford
EDU,202,Practicum: Primary Grades,Tuesday,7:00-9:45,Crouse-Hinds Hall
EDU,203,Introduction to Inclusive Schooling,Wednesday,1:00-3:46,Dineen Hall
EDU,204,Principles of Learning in Inclusive Classrooms,Thursday,2:00-4:46,Hinds Hall
EDU,221,Education for Transformation,Friday,3:00-5:46,Carnegie
EDU,270,Experience Credit,Monday,4:00-6:46,Hall of Languages
EDU,290,Independent Study,Tuesday,5:00-7:46,Physics Building
EDU,300,Selected Topics,Wednesday,6:00-8:46,Falk
EDU,301,Methods and Practice in Teaching Art,Thursday,7:00-9:46,Marshall Square Mall
EDU,302,Methods and Curriculum in Teaching Art,Friday,1:00-3:47,Lyman Hall
EDU,303,Teaching and Learning for Inclusive Schooling,Monday,2:00-4:47,Whitman
EDU,304,Study of Teaching,Tuesday,3:00-5:47,Schine
EDU,310,The American School,Wednesday,4:00-6:47,Heroy Geology Building
EDU,321,International Education for Transformation,Thursday,5:00-7:47,HBC Gifford
EDU,355,Fundamentals of Teaching for Non-Majors,Friday,6:00-8:47,Crouse-Hinds Hall
EDU,366,Safe and Healthy Learning Environments,Monday,7:00-9:47,Dineen Hall
EDU,400,Selected Topics,Tuesday,1:00-3:48,Hinds Hall
EDU,421,Behavior Techniques in Music Education,Wednesday,2:00-4:48,Carnegie
EDU,431,Art in the Classroom,Thursday,3:00-5:48,Hall of Languages
EDU,432,Music in the Classroom,Friday,4:00-6:48,Physics Building
EDU,433,Speech and Drama in the Classroom,Monday,5:00-7:48,Falk
EDU,434,Creative Movement for the Classroom,Tuesday,6:00-8:48,Marshall Square Mall
EDU,470,Experience Credit,Wednesday,7:00-9:48,Lyman Hall
EDU,490,Independent Study,Thursday,1:00-3:49,Whitman
EDU,499,Honors Capstone Project,Friday,2:00-4:49,Schine
EDU,508,Student Teaching,Monday,3:00-5:49,Heroy Geology Building
EDU,522,Social Studies and Democracy: The Reconstruction of Education,Tuesday,4:00-6:49,HBC Gifford
EDU,535,Quality Infant Care Giving,Wednesday,5:00-7:49,Crouse-Hinds Hall
EED,270,Experience Credit,Thursday,6:00-8:49,Dineen Hall
EED,290,Independent Study,Friday,7:00-9:49,Hinds Hall
EED,300,Selected Topics: Elementary Education,Monday,1:00-3:50,Carnegie
EED,314,Teaching Strategies for Inclusive Education,Tuesday,2:00-4:50,Hall of Languages
EED,323,Primary Grade Mathematics Methods and Curriculum,Wednesday,3:00-5:50,Physics Building
EED,325,Primary Grade Literacy Methods and Curriculum,Thursday,4:00-6:50,Falk
EED,328,Block II Field Experience,Friday,5:00-7:50,Marshall Square Mall
EED,336,Elementary Social Studies Methods and Curriculum,Monday,6:00-8:50,Lyman Hall
EED,361,Block I Field Experience and Seminar,Tuesday,7:00-9:50,Whitman
EED,362,Block II Field Seminar,Wednesday,1:00-3:51,Schine
EED,363,Block III Field Seminar,Thursday,2:00-4:51,Heroy Geology Building
EED,400,Selected Topics,Friday,3:00-5:51,HBC Gifford
EED,423,Intermediate Grade Mathematics Methods and Curriculum,Monday,4:00-6:51,Crouse-Hinds Hall
EED,425,Intermediate Grade Literacy Methods and Curriculum,Tuesday,5:00-7:51,Dineen Hall
EED,432,"Teaching Number Ideas, K-6",Wednesday,6:00-8:51,Hinds Hall
EED,433,"Teaching Geometry and Measurement, K-6",Thursday,7:00-9:51,Carnegie
EED,438,Block III Field Experience,Friday,1:00-3:52,Hall of Languages
EED,445,Inclusive Early Childhood Education Integrated Methods and Curriculum,Monday,2:00-4:52,Physics Building
EED,446,Inclusive Early Childhood Special Education PreK Field Experience,Tuesday,3:00-5:52,Falk
EED,464,Student Teaching Seminar/Inclusive Education,Wednesday,4:00-6:52,Marshall Square Mall
EED,470,Experience Credit,Thursday,5:00-7:52,Lyman Hall
ENP,499,Honors Capstone Project,Friday,6:00-8:52,Whitman
EEE,110,Discovering the Entrepreneur Within,Monday,7:00-9:52,Schine
EEE,200,Selected Topics,Tuesday,1:00-3:53,Heroy Geology Building
EEE,370,Introduction to Entrepreneurship and Emerging Enterprises,Wednesday,2:00-4:53,HBC Gifford
EEE,375,Entrepreneurial Family Business Management,Thursday,3:00-5:53,Crouse-Hinds Hall
EEE,378,"Imagination, Entrepreneurship and Creative Problem Solving",Friday,4:00-6:53,Dineen Hall
EEE,382,Entrepreneurial Marketing,Monday,5:00-7:53,Hinds Hall
EEE,400,Selected Topics,Tuesday,6:00-8:53,Carnegie
EEE,420,Corporate Entrepreneurship,Wednesday,7:00-9:53,Hall of Languages
EEE,439,Entrepreneurship and Digital Commerce,Thursday,1:00-3:54,Physics Building
EEE,440,Social Entrepreneurship in Action,Friday,2:00-4:54,Falk
EEE,442,Emerging Enterprise Law,Monday,3:00-5:54,Marshall Square Mall
EEE,443,Emerging Enterprise Consulting,Tuesday,4:00-6:54,Lyman Hall
EEE,444,Dilemmas and Debates in Entrepreneurship,Wednesday,5:00-7:54,Whitman
EEE,446,"Minority and Woman’s Entrepreneurship: Race, Gender, and Entrepreneurial Opportunity",Thursday,6:00-8:54,Schine
EEE,450,Sustainable Enterprise,Friday,7:00-9:54,Heroy Geology Building
EEE,451,Finance for Emerging Enterprises,Monday,1:00-3:55,HBC Gifford
EEE,452,International Entrepreneurship,Tuesday,2:00-4:55,Crouse-Hinds Hall
EEE,457,Strategic and Entrepreneurial Management,Wednesday,3:00-5:55,Dineen Hall
EEE,458,Business Plan Laboratory,Thursday,4:00-6:55,Hinds Hall
EEE,464,Entrepreneurial Empowerment,Friday,5:00-7:55,Carnegie
EEE,470,Experience Credit,Monday,6:00-8:55,Hall of Languages
EEE,476,Advanced Topics in Family Business Management,Tuesday,7:00-9:55,Physics Building
EEE,499,Honors Capstone Project,Wednesday,1:00-3:56,Falk
ELE,231,Electrical Engineering Fundamentals I,Thursday,2:00-4:56,Marshall Square Mall
ELE,232,Electrical Engineering Fundamentals II,Friday,3:00-5:56,Lyman Hall
ELE,280,International Course,Monday,4:00-6:56,Whitman
ELE,291,Electrical Engineering Laboratory I,Tuesday,5:00-7:56,Schine
ELE,292,Electrical Engineering Laboratory II,Wednesday,6:00-8:56,Heroy Geology Building
ELE,312,Control Systems for MAE,Thursday,7:00-9:56,HBC Gifford
ELE,314,Introduction to Power Engineering,Friday,1:00-3:57,Crouse-Hinds Hall
ELE,324,Electromagnetics I,Monday,2:00-4:57,Dineen Hall
ELE,325,Electromagnetics II,Tuesday,3:00-5:57,Hinds Hall
ELE,331,Digital Circuits and Systems,Wednesday,4:00-6:57,Carnegie
ELE,333,Analog Circuits,Thursday,5:00-7:57,Hall of Languages
ELE,346,Semiconductor Devices,Friday,6:00-8:57,Physics Building
ELE,351,System and Signal Analysis,Monday,7:00-9:57,Falk
ELE,352,Digital Signal Processing,Tuesday,1:00-3:58,Marshall Square Mall
ELE,391,Digital Circuits Laboratory,Wednesday,2:00-4:58,Lyman Hall
ELE,392,Analog Circuits Laboratory,Thursday,3:00-5:58,Whitman
ELE,400,Selected Topics,Friday,4:00-6:58,Schine
ELE,416,Electromechanical Devices,Monday,5:00-7:58,Heroy Geology Building
ELE,417,Power Electronics,Tuesday,6:00-8:58,HBC Gifford
ELE,418,Sensors & Measurements,Wednesday,7:00-9:58,Crouse-Hinds Hall
ELE,424,Fundamentals of Radio Frequencies and Microwaves,Thursday,1:00-3:59,Dineen Hall
ELE,425,Microwave Engineering,Friday,2:00-4:59,Hinds Hall
ELE,431,Analog Circuits and Systems,Monday,3:00-5:59,Carnegie
ELE,452,Digital Audio Signal Processing,Tuesday,4:00-6:59,Hall of Languages
ELE,458,Data Networks: Basic Principles,Wednesday,5:00-7:59,Physics Building
ELE,464,Introduction to VLSI Design,Thursday,6:00-8:59,Falk
ELE,470,Experience Credit,Friday,7:00-9:59,Marshall Square Mall
ELE,490,Independent Study,Monday,1:00-3:00,Lyman Hall
ELE,491,Senior Design Project I,Tuesday,2:00-4:00,Whitman
ELE,492,Senior Design Project II,Wednesday,3:00-5:00,Schine
ELE,499,Honors Capstone Project,Thursday,4:00-6:00,Heroy Geology Building
ELE,512,Linear Control Systems,Friday,5:00-7:00,HBC Gifford
ELE,514,Electric Power Systems,Monday,6:00-8:00,Crouse-Hinds Hall
ELE,516,Control of Robots,Tuesday,7:00-9:00,Dineen Hall
ELE,524,Introduction to Applied Optics,Wednesday,7:00-9:01,Hinds Hall
ELE,525,Elctromgetc Compatability,Thursday,7:00-9:02,Carnegie
ELE,530,Electric Power Generation and Distribution,Friday,1:00-3:01,Hall of Languages
ELE,541,Integrated Circuits,Monday,2:00-4:01,Physics Building
ELE,551,Communication Systems,Tuesday,3:00-5:01,Falk
ELE,553,Communications Engineering,Wednesday,4:00-6:01,Marshall Square Mall
ELE,591,Special Problems in Electrical Engineering,Thursday,5:00-7:01,Lyman Hall
ELE,599,Electrical Engineering Laboratory IV,Friday,6:00-8:01,Whitman
ELL,301,Tutoring English Learners in Schools within the US and Abroad,Monday,7:00-9:03,Schine
ELL,400,Selected Topics,Tuesday,7:00-9:04,Heroy Geology Building
ENC,510,Chamber Music Mixed,Wednesday,7:00-9:05,HBC Gifford
ENC,520,Chamber Music/Piana,Thursday,1:00-3:02,Crouse-Hinds Hall
ENC,530,Chamber Music/Strings,Friday,2:00-4:02,Dineen Hall
ENC,540,Chamber Music/Woodwinds,Monday,3:00-5:02,Hinds Hall
ENC,550,Chamber Music/Brass,Tuesday,4:00-6:02,Carnegie
ENC,560,Chamber Music/Percussion,Wednesday,5:00-7:02,Hall of Languages
